日期	開盤價	最高價	最低價	收盤價	成交量
112-03-29	533.00   	533.00   	525.00   	530.00   	17,569   
112-03-28	525.00   	530.00   	524.00   	525.00   	17,617   
112-03-27	533.00   	536.00   	531.00   	531.00   	16,444   
112-03-24	536.00   	539.00   	535.00   	539.00   	22,833   
112-03-23	528.00   	539.00   	528.00   	538.00   	28,125   
112-03-22	524.00   	533.00   	524.00   	533.00   	44,651   
112-03-21	515.00   	517.00   	512.00   	517.00   	18,519   
112-03-20	517.00   	518.00   	510.00   	512.00   	12,179   
112-03-17	516.00   	518.00   	513.00   	518.00   	33,624   
112-03-16	505.00   	510.00   	504.00   	505.00   	22,699   
112-03-15	515.00   	516.00   	510.00   	511.00   	23,553   
112-03-14	511.00   	514.00   	510.00   	510.00   	20,942   
112-03-13	513.00   	518.00   	509.00   	516.00   	21,951   
112-03-10	515.00   	516.00   	511.00   	513.00   	25,237   
112-03-09	525.00   	526.00   	522.00   	522.00   	21,896   
112-03-08	521.00   	523.00   	518.00   	521.00   	24,842   
112-03-07	521.00   	526.00   	519.00   	524.00   	25,380   
112-03-06	520.00   	524.00   	517.00   	521.00   	22,297   
112-03-03	524.00   	525.00   	516.00   	516.00   	23,650   
112-03-02	519.00   	520.00   	515.00   	519.00   	16,755  
112-02-24	524.00   	525.00   	511.00   	511.00   	42,307   
112-02-23	512.00   	521.00   	510.00   	518.00   	25,885   
112-02-22	506.00   	509.00   	505.00   	507.00   	25,763   
112-02-21	515.00   	517.00   	513.00   	516.00   	14,135   
112-02-20	514.00   	519.00   	511.00   	517.00   	20,516   
112-02-17	524.00   	524.00   	516.00   	518.00   	29,505   
112-02-16	528.00   	531.00   	524.00   	528.00   	30,554   
112-02-15	526.00   	532.00   	522.00   	525.00   	64,514   
112-02-14	544.00   	546.00   	543.00   	545.00   	22,976   
112-02-13	544.00   	544.00   	538.00   	541.00   	23,224   
112-02-10	544.00   	546.00   	541.00   	545.00   	30,301   
112-02-09	540.00   	540.00   	536.00   	540.00   	19,364   
112-02-08	538.00   	540.00   	534.00   	540.00   	36,652   
112-02-07	524.00   	528.00   	522.00   	523.00   	24,064   
112-02-06	532.00   	533.00   	526.00   	526.00   	31,871   
112-02-03	540.00   	542.00   	536.00   	542.00   	33,295   
112-02-02	538.00   	542.00   	537.00   	540.00   	44,417   
112-02-01	532.00   	533.00   	522.00   	530.00   	34,336  
112-01-31	537.00   	538.00   	521.00   	522.00   	74,067   
112-01-30	542.00   	543.00   	534.00   	543.00   	132,418   
112-01-17	504.00   	504.00   	499.50   	503.00   	28,624   
112-01-16	506.00   	508.00   	503.00   	505.00   	36,485   
112-01-13	507.00   	509.00   	499.00   	500.00   	81,205   
112-01-12	487.50   	488.00   	484.00   	486.50   	21,538   
112-01-11	487.00   	488.00   	482.00   	484.50   	21,571   
112-01-10	486.00   	487.00   	483.00   	486.00   	33,773   
112-01-09	468.00   	481.00   	467.50   	481.00   	48,595   
112-01-06	455.00   	459.50   	455.00   	458.50   	21,123   
112-01-05	459.00   	459.50   	455.00   	458.50   	23,882   
112-01-04	449.50   	455.00   	448.50   	449.50   	19,490   
112-01-03	446.00   	453.50   	443.00   	453.00   	15,311
